FID,Status,Score,Match_type,Match_addr,Number,LONGITUDE,LATITUDE,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
0,M,100,A,"5849 Crocker St, Los Angeles, CA, 90003",1,-118.268577,33.988777,038-010160,RRH,"Special Service for Groups, Inc.",First 5 LA Rental Assistance RRH Round 2,C,0,HC,Family,NA, ,Yes,1,5849 CROCKER ST, ,Los Angeles,90003,62118,Elvira Quintos,Program Director,(213) 483-3000,equintos@apctc.org,SPA 4,SD 2,CD 9,239200,190, ,190, , 
1,M,100,A,"5849 Crocker St, Los Angeles, CA, 90003",1,-118.268577,33.988777,038-010159,RRH,"Special Service for Groups, Inc.",First 5 LA Rental Assistance,N,0,HC,Family,NA,NA,No,1,5849 CROCKER ST, ,Los Angeles,90003,62118,Elvira Quintos,Program Director,(213) 483-3000,equintos@apctc.org,SPA 6,SD 2,CD 9,239200,61, ,61, , 
2,M,100,A,"9315 Firth Blvd, Los Angeles, CA, 90002",1,-118.247609,33.951975,041-011350,PSH,Watts Labor Community Action Committee,McCoy Plaza,C,0,HC,Family,NA,Persons Returning from Prison or Jail,Yes,1.2,9315 FIRTH BLVD, ,Los Angeles,90002,62118,Parker Anderson,General Manager Human Services,(323) 563-5639,panderson@wlcac.org,SPA 6,SD 2,CD 15,242300,239, ,286, , 
3,M,100,A,"1800 E 85th St, Los Angeles, CA, 90001",1,-118.2404,33.960953,213-001801,TH,"Immanuel Housing Inc (Formerly Beacon Housing, Inc.)",Immanuel House of Hope,C,0,HC,Family,NA,Chronically Homeless,Yes,0.59,1800 E. 85th St., ,Los Angeles,90001,69037,Karen Hirst,Executive Director,(323) 256-6975,karen@immanuelhousing.org,SPA 6,SD 3,NA,535300,32, ,19, , 
4,M,100,A,"450 N Hoover St, Los Angeles, CA, 90004",1,-118.284359,34.079027,011-001109,PSH,A Community of Friends,Project Independence/Gateways,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.93,450 N. Hoover St., ,Los Angeles,90004,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 1,CD 13,195900,29, ,27, , 
5,M,100,A,"4118 Rosewood Ave, Los Angeles, CA, 90004",1,-118.294081,34.078985,389-016153,PSH,First Place for Youth,My First Place TAY Housing Stabilization - Project SD 1,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.27,4118 Rosewood Ave, ,Los Angeles,90004,62118,Alex Atkinson,Director,(213) 835-2701,aatkinson@firstplaceforyouth.org,SPA 4,SD 1,CD 14,206040,37, ,10, , 
6,M,100,A,"8224 S Broadway, Los Angeles, CA, 90003",1,-118.278225,33.964827,083-011285,ES,Volunteers of America of Los Angeles,Family Emergency Housing Program,C,Facility-based beds,HC,Family,NA,NA,Yes,1.04,8224 S BROADWAY, ,Los Angeles,90003,62118,Henery Wilson,Program Director,(213) 799-1832,henerywil@aol.com,SPA 6,SD 2,CD 9,239700,24, ,25, , 
7,M,100,A,"1800 E 85th St, Los Angeles, CA, 90001",1,-118.2404,33.960953,504-019500,ES,Illumination Foundation,LA Recuperative Care,N,Facility-based beds,SMF,Individual,NA, ,Yes,1,1800 E. 85th St., ,Los Angeles,90001,69037,,,,,SPA 6,SD 4,NA,502800,3, ,3, , 
8,M,100,A,"9130 S Figueroa St, Los Angeles, CA, 90003",1,-118.282634,33.953466,011-001107,PSH,A Community of Friends,Figueroa Court Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.97,9130 S. Figueroa St., ,Los Angeles,90003,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 6,SD 2,CD 8,240200,39, ,38, , 
9,M,100,A,"695 S Vermont Ave, Los Angeles, CA, 90005",1,-118.291713,34.059978,140-003780,PSH,County of Los Angeles Department of Mental Health,Shelter Plus Care - Tenant-Based Rental Assistance,C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.89,Administrative Office  695 S. Vermont Avenue," 11th Floor,  Suite 1020",Los Angeles,90005,62118,Anu Sahni,Health Program Analyst I,(213) 480-3608,asahni@dmh.lacounty.gov,SPA 4,SD 2,CD 10,212303,1183, ,1048, , 
10,M,100,A,"340 N Madison Ave, Los Angeles, CA, 90004",1,-118.289101,34.076912,012-001963,OPH,"Beyond Shelter, Inc.",Homeless Section 8 Voucher Program (HACLA),C,0,HC,Family,NA,NA,Yes,1,340 N Madison Ave, ,Los Angeles,90004,62118,Joel John Roberts,CEO,(323) 644-2209,joelr.epath.org,SPA 4,SD 2,CD 13,192700,70, ,70, , 
11,M,100,A,"695 S Vermont Ave, Los Angeles, CA, 90005",1,-118.291713,34.059978,140-003751,PSH,County of Los Angeles Department of Mental Health,Homeless Section 8 Voucher Program (HACLA),N,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.2,Administrative Office  695 S. Vermont Avenue," 10th Floor,  Suite 1020",Los Angeles,90005,62118,Anu Sahni,Health Program Analyst I,(213) 480-3608,asahni@dmh.lacounty.gov,SPA 4,SD 2,CD 10,212303,90, ,18, , 
12,M,100,A,"335 N Juanita Ave, Los Angeles, CA, 90004",1,-118.29057,34.076787,177-014501,PSH,PATH Ventures,LaKretz Villas,C,0,SMF,Individual,NA,Chronically Homeless,No,0.72,335 N. Juanita Ave., ,Los Angeles,90004,62118,Jesus Hernandez,Dir. Of Development,(323) 671-1301,jhernandez@pathventures.org,SPA 4,SD 2,CD 13,192700,47, ,34, , 
13,M,100,A,"340 N Madison Ave, Los Angeles, CA, 90004",1,-118.289101,34.076912,177-014503,TH,PATH Ventures,TAY Transitional Housing Program,C,0,SMF,Youth,NA, ,Yes,0.75,340 N. Madison Ave., ,Los Angeles,90004,62118,Jesus Hernandez,Dir. Of Development,(323) 671-1301,jhernandez@pathventures.org,SPA 4,SD 2,CD 13,192700,8, ,6, , 
14,M,100,A,"695 S Vermont Ave, Los Angeles, CA, 90005",1,-118.291713,34.059978,140-003783,PSH,County of Los Angeles Department of Mental Health,Tenant Based Supportive Housing (TBSH),C,0,SMF+HC,Family,NA, ,Yes,0.94,Administrative Office  695 S. Vermont Avenue," 12th Floor,  Suite 1020",Los Angeles,90005,62118,Anu Sahni,Health Program Analyst I,(213) 480-3609,asahni@dmh.lacounty.gov,SPA 4,SD 2,CD 10,212303,124, ,117, , 
15,M,100,A,"836 Fedora St, Los Angeles, CA, 90005",1,-118.297558,34.057042,011-001106,PSH,A Community of Friends,Fedora Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.95,836 Fedora St., ,Los Angeles,90005,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 2,CD 10,212305,22, ,21, , 
16,M,100,A,"849 S Normandie Ave, Los Angeles, CA, 90005",1,-118.299859,34.056827,011-001108,PSH,A Community of Friends,Fox Normandie Apartments,C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.98,849 S. Normandie Ave., ,Los Angeles,90005,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 2,CD 10,212420,54, ,53, , 
17,M,89.04,A,"340 N Madison Ave, Los Angeles, CA, 90004",1,-118.289101,34.076912,044-008585,RRH,People Assisting the Homeless (PATH),SSVF - Supportive Services for Veteran Families,N,0,HC,Family,NA, ,No,1,340 North Madison, ,Los Angeles,90004,62118,Mario Cardona,Associate Director,(323) 960-3333,mcardona@epath.org,SPA 4,SD 2,CD 13,192700,10, ,10, , 
18,M,100,A,"962 S Hoover St, Los Angeles, CA, 90006",1,-118.284141,34.053399,105-008955,PSH,Project New Hope,"Ready, Willing and Able (B): Norlin Lockwood, Hoover and Nyumba Apartments",C,0,SMF,Individual,HIV,NA,Yes,0.88,962 S. Hoover St., ,Los Angeles,90006,62118,Brigitte Tweddell,Executive Director,(213) 250-9481,btweddell@projectnewhope.org,SPA 4,SD 1,CD 1,197500,104, ,91, , 
20,M,100,PP, ,1,-118.339009,34.012927,062-006153,ES,"Jenesse Center, Inc.",Fannie Lou Hamer Emergency Shelter,C,Facility-based beds,SFHC,Family,DV,NA,No,0.48,P.O. Box 8476, ,Los Angeles,90008,62118,Donna Derden,Contract Manager,(323) 299-9497,dderden@jenesse.org,SPA 6,SD 2,CD 10,236201,21, ,10, , 
21,M,100,A,"1053 S New Hampshire Ave, Los Angeles, CA, 90006",1,-118.292724,34.051732,092-006511,PSH,LTSC Community Development Corporation,Casa Yonde,C,0,HC,Family,DV,NA,No,0.41,1053 S. New Hampshire Ave., ,Los Angeles,90006,62118,Vivian Lee,Program Coordinator,(213) 473-3035,vlee@ltsc.org,SPA 4,SD 2,CD 1,213320,27, ,11, , 
22,M,100,A,"3995 Hillcrest Dr, Los Angeles, CA, 90008",1,-118.346427,34.013924,389-016150,TH,First Place for Youth,My First Place,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.04,3995 Hillcrest Dr., ,Los Angeles,90008,62118,Alex Atkinson,Director,(213) 835-2700,aatkinson@firstplaceforyouth.org,SPA 6,SD 2,CD 10,236201,27, ,1, , 
23,M,100,PP, ,1,-118.34022,34.013655,062-006151,TH,"Jenesse Center, Inc.","Center for Women and Children, Sites A and B",C,0,SFHC,Family,DV,NA,Yes,0.36,P.O. Box 8476, ,Los Angeles,90008,62118,Donna Derden,Contract Manager,(323) 299-9496,dderden@jenesse.org,SPA 6,SD 2,CD 10,236201,74, ,27, , 
24,M,100,PP, ,1,-118.337908,34.01229,062-006154,ES,"Jenesse Center, Inc.",Jenesse Educational Center,C,Voucher beds,SFHC,Family,DV,NA,No,1,P.O. Box 8476, ,Los Angeles,90008,62118,Donna Derden,Contract Manager,(323) 299-9498,dderden@jenesse.org,SPA 6,SD 2,CD 10,236201,33, ,33, , 
25,M,100,A,"3101 S Grand Ave, Los Angeles, CA, 90007",1,-118.274894,34.022459,406-017451,OPH,Coalition for Responsible Community Development,Homeless Section 8 Voucher Program (HACLA),C,0,YMF,Youth,NA,Youth (Ages 18-25),No,1,3101 S. Grand Ave., ,Los Angeles,90007,62118,Ishimine Caldwell,Manager of Supportive Services,(323) 234-4910,icaldwell@coalitionrcd.org,SPA 6,SD 1,CD 9,224600,58, ,58, , 
26,M,100,A,"3107 S Grand Ave, Los Angeles, CA, 90007",1,-118.275035,34.02224,040-009410,TH,The Salvation Army,GPD - Hope Harbor,C,0,SM,Individual,NA,NA,No,0.8,3107 S GRAND AVE, ,Los Angeles,90007,62118,Deborah Mayes,Program Manager,(213) 744-8186 x 207,deborah.mayes@usw.salvationarmy.org,SPA 5,SD 1,CD 9,224600,50, ,40, ,Veterans
27,M,100,A,"3107 S Grand Ave, Los Angeles, CA, 90007",1,-118.275035,34.02224,040-009446,TH,The Salvation Army,Hope Harbor GR,C,0,SM,Individual,NA, ,No,1,3107 S GRAND AVE, ,Los Angeles,90007,62118,Deborah Mayes,Program Manager,(213) 744-8186 x 207,deborah.mayes@usw.salvationarmy.org,SPA 6,SD 1,CD 9,224600,4, ,4, , 
28,M,92.5,A,"3881 Roxton Ave, Los Angeles, CA, 90018",1,-118.3214,34.015029,410-017200,TH,Sanctuary of Hope,Hope Refuge,C,0,YMF,Youth,NA,Youth (Emancipated Foster Youth),No,1,3881 ROXTON AVE, ,Los Angeles,90008,62118,Janet Kelley,Executive Director,(323) 786-2413,janet.kelly@thesoh.org,0,SD 2,CD 10,234000,6, ,6, , 
29,M,92.5,A,"326 S Broadway, Los Angeles, CA, 90013",1,-118.248305,34.050546,152-004604,ES,"First To Serve, Inc.",Winter Shelter Program II,C,Facility-based beds,SMF,Individual,NA, ,Yes,1,326 S Broadway, ,Los Angeles,90003,62118,Richard Reed,Executive Director,(323) 758-4669,rreed@firsttoserve.org,SPA 6,SD 1,CD 14,207301,196, ,196, , 
30,M,90.87,A,"1230 Menlo Ave, Los Angeles, CA, 90006",1,-118.290638,34.048506,092-006506,PSH,Koreatown Youth and Community Center (KYCC),Menlo Family Center,N,0,HC,Youth,NA,Youth (Ages 18-25),No,0,1230 S. Menlo Ave., Ste 100,Los Angeles,90006,62118,Walter Morita,Director of Property Management,(213) 473-3021, ,SPA 4,SD 2,CD 1,213402,2, ,0, , 
31,M,100,A,"3600 Wilshire Blvd, Los Angeles, CA, 90010",1,-118.303141,34.061674,083-011277,RRH,Corporation for Supportive Housing,Just In Reach,C,0,SM,Individual,NA, ,Yes,1,3600 Wilshire Blvd., Suite 1500,Los Angeles,90010,62118,,,,,SPA 4,SD 2,CD 10,212410,143, ,143, , 
32,M,100,A,"157 E 36th St, Los Angeles, CA, 90011",1,-118.271765,34.01631,092-006500,PSH,Coalition for Responsible Community Development,36th Street Apartments,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.83,157 E. 36th Street, ,Los Angeles,90011,62118,Ishimine Caldwell,Manager of Supportive Services,(323) 234-4910,icaldwell@coalitionrcd.org,SPA 6,SD 2,CD 9,228410,12, ,10, , 
33,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",1,-118.301217,34.061688,119-003702,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People (2): SPA 7,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.33,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,30, ,10, , 
