"","ZIPCODE","Calls311","Shelters","Crime","TotalHomeless","TotalSheltered","TotalUnsheltered","YouthHomeless","city.x","state.x","LATITUDE.x","LONGITUDE.x","CRIME.CODE.DESCRIPTION","LOCATION","LATITUDE.y","LONGITUDE.y","city.y","state.y"
"1",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",90001,60,1,NA,704,40,664,40,"Los Angeles","CA",33.9729,-118.2488,NA,NA,NA,NA,NA,NA
"3",90002,95,NA,NA,548,114,434,114,"Los Angeles","CA",33.9483,-118.2485,NA,NA,NA,NA,NA,NA
"4",90003,384,2,NA,1702,763,939,763,"Los Angeles","CA",33.9627,-118.276,NA,NA,NA,NA,NA,NA
"5",90004,532,2,NA,732,124,608,124,"Los Angeles","CA",34.0771,-118.3076,NA,NA,NA,NA,NA,NA
"6",90005,444,NA,NA,293,0,293,0,"Los Angeles","CA",34.0589,-118.3085,NA,NA,NA,NA,NA,NA
"7",90006,240,NA,NA,428,7,421,7,"Los Angeles","CA",34.0484,-118.2943,NA,NA,NA,NA,NA,NA
"8",90007,350,3,NA,866,338,528,338,"Los Angeles","CA",34.0264,-118.2829,NA,NA,NA,NA,NA,NA
"9",90008,87,NA,NA,325,83,242,83,"Los Angeles","CA",34.0098,-118.3371,NA,NA,NA,NA,NA,NA
"10",90010,147,NA,NA,186,0,186,0,"Los Angeles","CA",34.0627,-118.3148,NA,NA,NA,NA,NA,NA
"11",90011,433,NA,NA,1647,274,1373,274,"Los Angeles","CA",34.0071,-118.2587,NA,NA,NA,NA,NA,NA
"12",90012,139,NA,NA,1490,328,1162,328,"Los Angeles","CA",34.0616,-118.2394,NA,NA,NA,NA,NA,NA
"13",90013,110,15,NA,3899,1947,1952,1947,"Los Angeles","CA",34.0447,-118.2426,NA,NA,NA,NA,NA,NA
"14",90014,276,3,NA,3605,1942,1663,1942,"Los Angeles","CA",34.0429,-118.2519,NA,NA,NA,NA,NA,NA
"15",90015,455,3,NA,1332,313,1019,313,"Los Angeles","CA",34.039,-118.2652,NA,NA,NA,NA,NA,NA
"16",90016,267,NA,NA,447,53,394,53,"Los Angeles","CA",34.0297,-118.3526,NA,NA,NA,NA,NA,NA
"17",90017,134,1,NA,835,259,576,259,"Los Angeles","CA",34.0526,-118.2643,NA,NA,NA,NA,NA,NA
"18",90018,156,3,NA,411,111,300,111,"Los Angeles","CA",34.0291,-118.3183,NA,NA,NA,NA,NA,NA
"19",90019,254,2,NA,373,75,298,75,"Los Angeles","CA",34.0484,-118.3402,NA,NA,NA,NA,NA,NA
"20",90020,516,NA,NA,224,22,202,22,"Los Angeles","CA",34.0665,-118.3086,NA,NA,NA,NA,NA,NA
"21",90021,1148,1,NA,3262,1757,1505,1757,"Los Angeles","CA",34.0293,-118.2418,NA,NA,NA,NA,NA,NA
"22",90023,95,1,NA,510,23,487,23,"Los Angeles","CA",34.023,-118.2023,NA,NA,NA,NA,NA,NA
"23",90024,81,NA,NA,651,468,183,468,"Los Angeles","CA",34.0632,-118.4364,NA,NA,NA,NA,NA,NA
"24",90025,215,NA,NA,1058,691,367,691,"Los Angeles","CA",34.045,-118.4453,NA,NA,NA,NA,NA,NA
"25",90026,594,3,NA,959,416,543,416,"Los Angeles","CA",34.0785,-118.266,NA,NA,NA,NA,NA,NA
"26",90027,219,4,NA,522,192,330,192,"Los Angeles","CA",34.1112,-118.2884,NA,NA,NA,NA,NA,NA
"27",90028,518,9,NA,947,311,636,311,"Los Angeles","CA",34.0989,-118.3275,NA,NA,NA,NA,NA,NA
"28",90029,283,1,NA,988,249,739,249,"Los Angeles","CA",34.0903,-118.2946,NA,NA,NA,NA,NA,NA
"29",90031,122,NA,NA,217,29,188,29,"Los Angeles","CA",34.0787,-118.2161,NA,NA,NA,NA,NA,NA
"30",90032,190,NA,NA,102,29,73,29,"Los Angeles","CA",34.0817,-118.1757,NA,NA,NA,NA,NA,NA
"31",90033,160,6,NA,578,246,332,246,"Los Angeles","CA",34.0504,-118.212,NA,NA,NA,NA,NA,NA
"32",90034,189,NA,NA,208,6,202,6,"Los Angeles","CA",34.0306,-118.398,NA,NA,NA,NA,NA,NA
"33",90035,122,NA,NA,148,40,108,40,"Los Angeles","CA",34.0527,-118.3853,NA,NA,NA,NA,NA,NA
"34",90036,143,NA,NA,206,17,189,17,"Los Angeles","CA",34.0704,-118.3493,NA,NA,NA,NA,NA,NA
"35",90037,482,3,NA,1984,634,1350,634,"Los Angeles","CA",34.0021,-118.2874,NA,NA,NA,NA,NA,NA
"36",90038,812,1,NA,580,146,434,146,"Los Angeles","CA",34.0895,-118.3285,NA,NA,NA,NA,NA,NA
"37",90039,112,NA,NA,272,120,152,120,"Los Angeles","CA",34.1104,-118.2583,NA,NA,NA,NA,NA,NA
"38",90041,267,NA,NA,117,0,117,0,"Los Angeles","CA",34.1376,-118.2077,NA,NA,NA,NA,NA,NA
"39",90042,191,NA,NA,211,0,211,0,"Los Angeles","CA",34.1146,-118.1923,NA,NA,NA,NA,NA,NA
"40",90043,76,1,NA,123,8,115,8,"Los Angeles","CA",33.9875,-118.334,NA,NA,NA,NA,NA,NA
"41",90044,258,3,NA,1392,585,807,585,"Los Angeles","CA",33.9538,-118.2916,NA,NA,NA,NA,NA,NA
"42",90045,83,NA,NA,832,304,528,304,"Los Angeles","CA",33.96,-118.3949,NA,NA,NA,NA,NA,NA
"43",90046,354,NA,NA,205,17,188,17,"Los Angeles","CA",34.0989,-118.3624,NA,NA,NA,NA,NA,NA
"44",90047,123,NA,NA,607,155,452,155,"Los Angeles","CA",33.9585,-118.31,NA,NA,NA,NA,NA,NA
"45",90048,160,NA,NA,131,17,114,17,"Los Angeles","CA",34.0738,-118.3738,NA,NA,NA,NA,NA,NA
"46",90049,33,NA,NA,485,345,140,345,"Los Angeles","CA",34.0674,-118.4753,NA,NA,NA,NA,NA,NA
"47",90057,352,3,NA,711,321,390,321,"Los Angeles","CA",34.0619,-118.2769,NA,NA,NA,NA,NA,NA
"48",90058,30,NA,NA,817,419,398,419,"Los Angeles","CA",34.0002,-118.2261,NA,NA,NA,NA,NA,NA
"49",90059,45,1,NA,561,94,467,94,"Los Angeles","CA",33.9275,-118.2478,NA,NA,NA,NA,NA,NA
"50",90061,33,1,NA,529,110,419,110,"Los Angeles","CA",33.9234,-118.2759,NA,NA,NA,NA,NA,NA
