Community,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,YouthSurvCt,SheltHmisCt,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamEncampHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamEncampPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndEncampPeople,totYouthFamHH,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
Adams,6,2,8,30,53,37,15,7,8,75,1,2,22,15,43,36,22,35,27,90,61,42,1,0,1,0,0,3,1,5,1,0,32,26,85,61,42,0,0,65,186,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,333,186,5,0,191,524
Adams-La Brea,6,2,10,30,54,37,0,1,0,43,0,0,9,11,21,3,4,14,20,44,5,8,0,0,1,0,0,1,1,2,0,0,13,19,42,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,134
Agoura Hills,2,3,0,27,50,33,0,0,0,9,0,0,2,1,3,1,4,3,2,6,2,8,0,0,0,0,0,0,0,0,0,0,3,2,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30
Agua Dulce,2,5,0,21,36,25,0,0,0,13,0,0,5,2,5,4,2,8,4,10,7,4,0,0,0,0,0,1,0,1,0,0,7,3,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,46
Alhambra,3,5,0,22,49,27,0,0,16,24,0,0,10,3,4,1,10,16,5,8,2,19,1,0,0,0,0,2,0,0,0,0,14,5,8,2,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,75,0,14,0,14,89
Alondra Park,8,2,0,35,66,43,0,0,0,6,0,0,2,0,1,1,1,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
Altadena,3,5,0,25,41,27,9,0,0,11,0,0,4,2,7,1,1,6,4,15,2,2,0,0,0,0,0,1,0,1,0,0,6,3,14,2,2,0,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,39,2,23,0,25,64
Angeles National Forest,2,3,7,25,39,28,0,0,0,56,0,0,11,3,7,17,6,17,5,15,29,12,1,0,0,0,0,2,0,1,0,0,16,5,14,29,11,0,0,0,0,0,0,0,0,11,50,169,2,6,16,0,0,0,0,0,0,0,0,134,0,198,0,198,332
Arcadia,3,5,0,22,49,27,0,0,0,1,0,0,2,1,2,0,2,3,2,4,0,4,0,0,0,0,0,0,0,0,0,0,3,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
Arleta,2,3,6,18,39,29,2,0,0,15,0,0,2,1,8,3,15,3,2,17,5,29,0,0,0,0,0,0,0,1,0,0,3,2,16,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,71
