,ZIPCODE,Calls311,Shelters,Homicides,Rape,Crime,TotalHomeless,TotalSheltered,TotalUnsheltered,YouthHomeless,city,state,latitude,longitude,timezone,dst
1,90001,60,1,NA,NA,NA,704,40,664,40,Los Angeles,CA,33.972914,-118.24878,-8,1
3,90003,384,2,NA,NA,NA,1702,763,939,763,Los Angeles,CA,33.962714,-118.276,-8,1
4,90004,532,2,NA,NA,NA,732,124,608,124,Los Angeles,CA,34.07711,-118.30755,-8,1
7,90007,350,3,NA,NA,NA,866,338,528,338,Los Angeles,CA,34.026448,-118.2829,-8,1
12,90013,110,15,NA,NA,NA,3899,1947,1952,1947,Los Angeles,CA,34.044662,-118.24255,-8,1
13,90014,276,3,NA,NA,NA,3605,1942,1663,1942,Los Angeles,CA,34.042912,-118.25193,-8,1
14,90015,455,3,NA,NA,NA,1332,313,1019,313,Los Angeles,CA,34.038993,-118.26516,-8,1
16,90017,134,1,NA,NA,NA,835,259,576,259,Los Angeles,CA,34.052561,-118.26434,-8,1
17,90018,156,3,NA,NA,NA,411,111,300,111,Los Angeles,CA,34.029112,-118.3183,-8,1
18,90019,254,2,NA,NA,NA,373,75,298,75,Los Angeles,CA,34.048411,-118.34015,-8,1
20,90021,1148,1,NA,NA,NA,3262,1757,1505,1757,Los Angeles,CA,34.029313,-118.24182,-8,1
21,90023,95,1,NA,NA,NA,510,23,487,23,Los Angeles,CA,34.023039,-118.20231,-8,1
24,90026,594,3,NA,NA,NA,959,416,543,416,Los Angeles,CA,34.07851,-118.26596,-8,1
25,90027,219,4,NA,NA,NA,522,192,330,192,Los Angeles,CA,34.111208,-118.28842,-8,1
26,90028,518,9,NA,NA,NA,947,311,636,311,Los Angeles,CA,34.098859,-118.32745,-8,1
27,90029,283,1,NA,NA,NA,988,249,739,249,Los Angeles,CA,34.090259,-118.29455,-8,1
30,90033,160,6,NA,NA,NA,578,246,332,246,Los Angeles,CA,34.050411,-118.21195,-8,1
34,90037,482,3,NA,NA,NA,1984,634,1350,634,Los Angeles,CA,34.002063,-118.28737,-8,1
35,90038,812,1,NA,NA,NA,580,146,434,146,Los Angeles,CA,34.089459,-118.3285,-8,1
39,90043,76,1,NA,NA,NA,123,8,115,8,Los Angeles,CA,33.987463,-118.334,-8,1
40,90044,258,3,1,NA,137,1392,585,807,585,Los Angeles,CA,33.953814,-118.29158,-8,1
46,90057,352,3,NA,NA,NA,711,321,390,321,Los Angeles,CA,34.061911,-118.27687,-8,1
48,90059,45,1,NA,NA,NA,561,94,467,94,Los Angeles,CA,33.927471,-118.24778,-8,1
49,90061,33,1,1,1,35,529,110,419,110,Los Angeles,CA,33.923365,-118.27591,-8,1
50,90062,70,1,NA,NA,NA,494,244,250,244,Los Angeles,CA,34.003213,-118.3078,-8,1
51,90063,38,1,NA,NA,NA,140,0,140,0,Los Angeles,CA,34.045161,-118.1865,-8,1
52,90064,654,2,NA,NA,NA,352,110,242,110,Los Angeles,CA,34.03457,-118.42843,-8,1
69,90291,444,3,NA,NA,NA,888,67,821,67,Venice,CA,33.992411,-118.46531,-8,1
77,90731,219,5,NA,NA,NA,503,97,406,97,San Pedro,CA,33.732368,-118.28905,-8,1
79,90744,140,2,NA,NA,NA,651,19,632,19,Wilmington,CA,33.784018,-118.25897,-8,1
82,91042,63,1,NA,NA,NA,316,138,178,138,Tujunga,CA,34.256952,-118.28453,-8,1
83,91105,1,2,NA,NA,NA,37,0,37,0,Pasadena,CA,34.137857,-118.16329,-8,1
85,91303,141,1,NA,NA,NA,189,61,128,61,Canoga Park,CA,34.198204,-118.60206,-8,1
87,91306,121,2,NA,NA,NA,128,15,113,15,Winnetka,CA,34.209407,-118.57735,-8,1
89,91311,586,1,NA,NA,NA,296,105,191,105,Chatsworth,CA,34.259052,-118.59426,-8,1
95,91335,131,1,NA,NA,NA,220,41,179,41,Reseda,CA,34.200104,-118.54099,-8,1
98,91343,352,1,NA,NA,NA,377,47,330,47,North Hills,CA,34.239503,-118.48224,-8,1
105,91401,238,3,NA,NA,NA,279,89,190,89,Van Nuys,CA,34.176505,-118.43308,-8,1
111,91423,91,1,NA,NA,NA,125,31,94,31,Sherman Oaks,CA,34.153628,-118.43222,-8,1
115,91601,169,2,NA,NA,NA,231,0,231,0,North Hollywood,CA,34.168206,-118.37246,-8,1
118,91605,302,4,NA,NA,NA,832,421,411,421,North Hollywood,CA,34.208142,-118.4011,-8,1
134,90073,NA,2,NA,NA,NA,384,345,39,345,Los Angeles,CA,33.786594,-118.298662,-8,1
135,90221,NA,3,NA,NA,NA,525,245,280,245,Compton,CA,33.893265,-118.204,-8,1
136,90254,NA,1,NA,NA,NA,70,6,64,6,Hermosa Beach,CA,33.866314,-118.39968,-8,1
137,90255,NA,1,NA,NA,NA,313,76,237,76,Huntington Park,CA,33.978404,-118.21773,-8,1
138,90260,NA,1,NA,NA,NA,83,29,54,29,Lawndale,CA,33.888364,-118.35355,-8,1
139,90262,NA,1,NA,NA,NA,117,0,117,0,Lynwood,CA,33.924642,-118.20186,-8,1
140,90401,NA,4,NA,NA,NA,515,183,332,183,Santa Monica,CA,34.01491,-118.4922,-8,1
141,90403,NA,2,NA,NA,NA,185,65,120,65,Santa Monica,CA,34.032159,-118.49022,-8,1
142,90602,NA,3,NA,NA,NA,194,0,194,0,Whittier,CA,33.967562,-118.03384,-8,1
143,90660,NA,1,NA,NA,NA,113,6,107,6,Pico Rivera,CA,33.989013,-118.08912,-8,1
144,90745,NA,2,1,NA,163,197,0,197,0,Carson,CA,33.823765,-118.2668,-8,1
145,90802,NA,2,NA,NA,NA,NA,NA,NA,NA,Long Beach,CA,33.769018,-118.19225,-8,1
146,90803,NA,1,NA,NA,NA,NA,NA,NA,NA,Long Beach,CA,33.761117,-118.12986,-8,1
147,90806,NA,1,NA,NA,NA,15,0,15,0,Long Beach,CA,33.801767,-118.1858,-8,1
148,90808,NA,1,NA,NA,NA,16,0,16,0,Long Beach,CA,33.823316,-118.11329,-8,1
149,90813,NA,7,NA,NA,NA,NA,NA,NA,NA,Long Beach,CA,33.781011,-118.19197,-8,1
150,91006,NA,1,NA,NA,NA,29,0,29,0,Arcadia,CA,34.134057,-118.02662,-8,1
151,91016,NA,2,NA,NA,NA,84,0,84,0,Monrovia,CA,34.140806,-118.00184,-8,1
152,91101,NA,1,NA,NA,NA,NA,NA,NA,NA,Pasadena,CA,34.146607,-118.1391,-8,1
153,91104,NA,2,NA,NA,NA,9,0,9,0,Pasadena,CA,34.169356,-118.12392,-8,1
154,91106,NA,2,NA,NA,NA,1,0,1,0,Pasadena,CA,34.142557,-118.12715,-8,1
155,91204,NA,1,NA,NA,NA,NA,NA,NA,NA,Glendale,CA,34.135259,-118.25948,-8,1
156,91206,NA,1,NA,NA,NA,0,0,0,0,Glendale,CA,34.156674,-118.22937,-8,1
157,91321,NA,1,NA,NA,NA,255,202,53,202,Newhall,CA,34.377782,-118.51489,-8,1
158,91502,NA,1,NA,NA,NA,75,0,75,0,Burbank,CA,34.177606,-118.30954,-8,1
159,91506,NA,1,NA,NA,NA,39,0,39,0,Burbank,CA,34.169663,-118.32364,-8,1
160,91702,NA,1,NA,NA,NA,81,0,81,0,Azusa,CA,34.128907,-117.90309,-8,1
161,91706,NA,1,NA,NA,NA,137,0,137,0,Baldwin Park,CA,34.087108,-117.96966,-8,1
162,91711,NA,2,NA,NA,NA,35,21,14,21,Claremont,CA,34.110009,-117.71973,-8,1
163,91731,NA,3,NA,NA,NA,204,168,36,168,El Monte,CA,34.076642,-118.03942,-8,1
164,91745,NA,1,NA,NA,NA,244,0,244,0,Hacienda Heights,CA,34.000578,-117.96943,-8,1
165,91748,NA,1,NA,NA,NA,114,8,106,8,Rowland Heights,CA,33.985012,-117.89705,-8,1
166,91766,NA,1,NA,NA,NA,466,181,285,181,Pomona,CA,34.045584,-117.75305,-8,1
167,91767,NA,1,NA,NA,NA,519,273,246,273,Pomona,CA,34.080143,-117.73861,-8,1
168,91768,NA,2,NA,NA,NA,384,188,196,188,Pomona,CA,34.06521,-117.77932,-8,1
169,91776,NA,2,NA,NA,NA,24,12,12,12,San Gabriel,CA,34.089059,-118.0951,-8,1
170,91786,NA,1,NA,NA,NA,1,0,1,0,Upland,CA,34.101659,-117.65776,-8,1
171,91790,NA,1,NA,NA,NA,50,0,50,0,West Covina,CA,34.068059,-117.93835,-8,1
172,93534,NA,8,NA,NA,NA,774,211,563,211,Lancaster,CA,34.698696,-118.15015,-8,1
173,93535,NA,2,NA,NA,NA,955,222,733,222,Lancaster,CA,34.691946,-117.97756,-8,1
174,93550,NA,2,NA,NA,NA,210,0,210,0,Palmdale,CA,34.56548,-118.08549,-8,1
