LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIPCODE,X_COORDINATE,Y_COORDINATE,INCIDENT_ID,REPORTING_DISTRICT,SEQ,UNIT_ID,UNIT_NAME,DELETED
18362951,10/11/2017 21:00,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"300 W PONDERA ST, LANCASTER, CA",300 W PONDERA ST,LANCASTER,,6521766.407,2073608.855,017-19915-1132,1132,19915,CA0190024,LANCASTER,N
18366192,10/14/2017 18:20,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"11000 S VERMONT AVE, LOS ANGELES, CA 90044",11000 S VERMONT AVE,LOS ANGELES,90044,6473052.527,1798880.883,017-09566-0375,375,9566,CA0190003,SOUTH LOS ANGELES,N
18366869,10/15/2017 19:37,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"1300 ATLANTIC BLVD, EAST LOS ANGELES, CA 90022",1300 ATLANTIC BLVD,EAST LOS ANGELES,90022,6513327.769,1827519.12,017-15570-0286,286,15570,CA0190002,EAST LOS ANGELES,N
18367733,10/16/2017 16:10,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"8600 GRAHAM AVE, LOS ANGELES, CA 90002",8600 GRAHAM AVE,LOS ANGELES,90002,6487941.695,1807732.757,017-03183-6016,6016,3183,CA0190031,TRANSIT SERV BUR,N
18369348,10/18/2017 1:40,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"400 W SPRUCE ST, COMPTON, CA",400 W SPRUCE ST,COMPTON,,6491226.504,1786959.019,017-13721-2814,2814,13721,CA0190042,COMPTON,N
18370248,10/18/2017 7:50,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"100 W 132ND ST, LOS ANGELES, CA 90061",100 W 132ND ST,LOS ANGELES,90061,6479145.115,1790701.63,017-80443-2141,2141,80443,CA01900V3,CENTURY,N
18370365,10/18/2017 21:50,CRIMINAL HOMICIDE,12,"CRIMINAL HOMICIDE: MANSLAUGHTER, VOLUNTARY/INVOLUNTARY","BALDWIN AVE & LOWER AZUSA RD, TEMPLE CITY, CA 91780",BALDWIN AVE & LOWER AZUSA RD,TEMPLE CITY,91780,6546862.579,1855393.252,017-12037-0524,524,12037,CA0190005,TEMPLE,N
18371808,10/20/2017 9:57,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"14700 EL CAMINO AVE, PARAMOUNT, CA",14700 EL CAMINO AVE,PARAMOUNT,,6507161.4,1785889.271,017-22401-1363,1363,22401,CA0190013,LAKEWOOD,N
18373253,10/21/2017 19:49,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"18800 ELIZONDO ST, EAST VALINDA, CA",18800 ELIZONDO ST,EAST VALINDA,,6594425.262,1824909.294,017-13014-1443,1443,13014,CA0190014,INDUSTRY,N
18374642,10/23/2017 13:24,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"1/2 MILE N OF 35501 RIDGE RTE RD, CASTAIC, CA 91384",1/2 MILE N OF 35501 RIDGE RTE RD,CASTAIC,91384,,,017-14984-0674,674,14984,CA0190006,SANTA CLARITA VALLEY,N
18378587,10/26/2017 20:52,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"19400 S PRICETOWN AVE, CARSON, CA 90745",19400 S PRICETOWN AVE,CARSON,90745,6486313.936,1769198.63,017-11900-1616,1616,11900,CA0190016,CARSON,N
18386908,11/4/2017 14:20,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"1100 NADEAU ST, LOS ANGELES, CA",1100 NADEAU ST,LOS ANGELES,,6484203.957,1810698.347,017-17167-2172,2172,17167,CA01900V3,CENTURY,N
18387604,11/5/2017 13:34,CRIMINAL HOMICIDE,11,CRIMINAL HOMICIDE: Murder,"8600 SOMERSET BLVD, PARAMOUNT, CA 90723",8600 SOMERSET BLVD,PARAMOUNT,90723,6516481.18,1784918.821,017-23613-1365,1365,23613,CA0190013,LAKEWOOD,N
18364500,10/10/2017 20:30,FORCIBLE RAPE,21,"RAPE, FORCIBLE: Rape by Force, Female 18 YRS +","10TH ST W & AVENUE I, LANCASTER, CA",10TH ST W & AVENUE I,LANCASTER,,6517153.635,2078602.922,017-19986-1125,1125,19986,CA0190024,LANCASTER,N
