"","City","shelters"
"1","Alhambra",1
"2","Arleta",1
"3","Bell",10
"4","Bellflower",1
"5","Burbank",2
"6","Canoga Park",1
"7","Canyon Country",2
"8","Chatsworth",2
"9","Claremont",1
"10","Compton",4
"11","Covina",1
"12","Cudahy",1
"13","Culver City",2
"14","Duarte",1
"15","El Monte",5
"16","Gardena",2
"17","Glendora",1
"18","Hawthorne",1
"19","Hermosa Beach",2
"20","Hollywood",2
"21","Inglewood",3
"22","Lancaster",7
"23","Lawndale",1
"24","Lomita",1
"25","Los Angeles",140
"26","LOS ANGELES",1
"27","Maywood",1
"28","North Hills",4
"29","North Hollywood",5
"30","Northridge",1
"31","NORTHRIDGE",1
"32","Norwalk",2
"33","Pacoima",3
"34","Panorama City",1
"35","Pomona",5
"36","Rancho Dominguez",1
"37","Reseda",2
"38","Rowland Heights",1
"39","San Dimas",1
"40","San Gabriel",1
"41","San Pedro",2
"42","Santa Clarita",2
"43","Santa Monica",7
"44","Sun Valley",1
"45","Sylmar",2
"46","Van Nuys",4
"47","Venice",1
"48","Westchester",1
"49","Whittier",3
"50","Wilmington",1
