tract,totYouthIndiv,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
221500,0,18,0,0,0,0,18
221601,0,21,0,0,0,0,21
221710,0,18,0,0,0,0,18
221810,0,30,0,0,0,0,30
221820,0,11,0,0,0,0,11
221900,0,4,0,0,0,0,4
222001,0,15,0,0,0,0,15
222002,0,7,0,0,0,0,7
222100,0,2,0,0,0,0,2
222200,0,8,0,0,0,0,8
222500,0,14,0,0,0,0,14
222600,0,3,0,0,0,0,3
222700,0,11,0,0,0,0,11
231210,0,2,0,0,0,0,2
231220,0,9,84,0,0,84,93
231300,0,35,0,0,0,0,35
231400,0,17,0,0,0,0,17
219500,0,19,0,0,0,0,19
219700,0,17,0,0,0,0,17
219800,0,6,0,0,0,0,6
219901,0,4,0,0,0,0,4
219902,0,8,0,0,0,0,8
220000,0,23,0,0,0,0,23
220100,0,15,0,0,0,0,15
800324,0,21,0,0,0,0,21
800327,0,0,0,0,0,0,0
800328,0,0,0,0,0,0,0
800331,0,0,0,0,0,0,0
800332,0,0,0,0,0,0,0
920011,0,0,0,0,0,0,0
920102,0,0,0,0,0,0,0
920104,0,0,0,0,0,0,0
920106,0,3,0,0,0,0,3
920116,0,19,0,0,0,0,19
920118,0,63,0,0,0,0,63
920119,0,0,0,0,0,0,0
920200,0,1,0,0,0,0,1
480302,0,2,0,0,0,0,2
480303,0,0,0,0,0,0,0
480304,0,3,0,0,0,0,3
480400,0,4,0,0,0,0,4
480802,0,5,0,0,0,0,5
480803,0,0,0,0,0,0,0
480804,0,2,0,0,0,0,2
480901,0,0,0,0,0,0,0
480902,0,0,0,0,0,0,0
480903,0,4,0,0,0,0,4
481001,0,5,0,0,0,0,5
481002,0,1,0,16,0,16,17
481500,0,13,0,0,0,0,13
481603,0,0,0,0,0,0,0
481604,0,0,0,0,0,0,0
481605,0,2,0,0,0,0,2
481606,0,3,0,0,0,0,3
481800,0,0,0,0,0,0,0
481901,0,2,0,0,0,0,2
481902,0,2,0,0,0,0,2
603702,0,12,0,0,0,0,12
603704,0,10,0,0,0,0,10
460200,0,12,0,0,0,0,12
460301,0,23,0,0,0,0,23
460302,0,0,0,0,0,0,0
461000,2,4,0,0,0,0,4
461100,0,10,0,0,0,0,10
461200,0,0,0,0,0,0,0
461300,0,9,0,0,0,0,9
104124,0,31,0,0,0,0,31
930101,0,3,0,0,0,0,3
930200,0,0,0,138,0,138,138
930301,0,7,0,0,0,0,7
430400,0,0,0,0,0,0,0
430600,0,0,0,0,0,0,0
430701,0,2,0,0,0,0,2
430721,0,0,0,0,0,0,0
430723,0,2,0,0,0,0,2
430724,0,0,0,0,0,0,0
430801,0,4,0,0,0,0,4
430802,0,0,0,0,0,0,0
430803,0,4,0,0,0,0,4
431600,0,0,0,0,0,0,0
431700,0,0,0,0,0,0,0
119001,0,26,0,0,0,0,26
119002,0,0,0,0,0,0,0
119201,0,1,0,0,0,0,1
119202,0,16,0,10,0,10,26
119400,0,4,0,0,0,0,4
119700,0,32,0,0,0,0,32
119800,0,8,0,0,0,0,8
554801,0,1,0,0,0,0,1
554802,0,3,10,14,0,24,27
554900,0,4,0,0,0,0,4
187101,0,0,0,0,0,0,0
187102,0,2,0,0,0,0,2
188100,0,18,0,50,0,50,68
188300,0,10,0,0,0,0,10
599000,0,18,0,0,0,0,18
408301,0,61,0,0,0,0,61
408302,0,40,0,0,0,0,40
408303,0,6,0,0,0,0,6
400602,0,9,0,0,0,0,9
400603,0,8,0,0,0,0,8
400604,0,4,0,0,0,0,4
404201,0,6,0,0,0,0,6
404202,0,0,0,0,0,0,0
404301,0,5,0,0,0,0,5
404302,0,0,0,0,0,0,0
404401,0,7,0,0,0,0,7
404402,0,10,0,0,0,0,10
404501,0,5,0,0,0,0,5
404503,0,1,0,0,0,0,1
404504,0,0,0,0,0,0,0
234000,0,11,24,6,0,30,41
234200,0,34,0,0,0,0,34
234300,0,28,0,0,0,0,28
234501,0,21,0,0,0,0,21
234502,0,10,0,0,0,0,10
234600,0,24,0,0,0,0,24
234700,0,1,0,0,0,0,1
234800,0,5,0,0,0,0,5
234901,0,4,0,0,0,0,4
234902,0,7,0,0,0,0,7
235100,0,2,0,0,0,0,2
235201,1,1,0,8,0,8,9
235202,0,5,0,0,0,0,5
236000,0,15,0,0,0,0,15
236100,3,15,0,0,0,0,15
236202,0,37,0,0,0,0,37
236203,0,64,0,0,0,0,64
236204,0,8,13,40,0,53,61
236400,0,0,0,0,0,0,0
404701,0,14,0,0,0,0,14
404702,0,0,0,0,0,0,0
404703,0,15,0,0,0,0,15
404801,0,10,0,0,0,0,10
404802,0,2,0,0,0,0,2
404803,0,5,0,0,0,0,5
404901,0,2,0,0,0,0,2
404902,0,2,0,0,0,0,2
404903,0,11,0,0,0,0,11
405001,0,20,0,0,0,0,20
405002,0,2,0,0,0,0,2
405101,0,4,0,0,0,0,4
405102,0,11,0,0,0,0,11
405201,0,5,0,0,0,0,5
405202,0,0,0,0,0,0,0
405203,0,8,0,0,0,0,8
194200,0,2,0,0,0,0,2
194300,0,0,0,0,0,0,0
261101,0,0,0,0,0,0,0
261102,0,0,0,0,0,0,0
261200,0,0,0,0,0,0,0
262100,0,0,0,0,0,0,0
262200,0,0,0,0,0,0,0
533601,0,0,0,0,0,0,0
533602,0,0,0,0,0,0,0
533603,0,14,0,0,0,0,14
533803,0,2,0,0,0,0,2
533804,0,0,0,0,0,0,0
533805,0,3,0,0,0,0,3
533806,0,43,0,0,0,0,43
533901,0,6,0,0,0,0,6
533902,2,25,0,0,0,0,25
534001,0,17,0,0,0,0,17
534002,0,12,0,0,0,0,12
534101,0,26,0,0,0,0,26
534102,0,7,0,0,0,0,7
534201,0,4,0,0,0,0,4
534202,0,4,0,0,0,0,4
534203,0,3,0,0,0,0,3
553100,0,24,0,0,0,0,24
553200,0,12,0,0,0,0,12
553300,0,13,0,0,0,0,13
554001,0,7,0,0,0,0,7
554002,0,8,0,28,0,28,36
554101,0,9,0,0,0,0,9
554103,0,17,0,0,0,0,17
554104,0,6,0,0,0,0,6
554105,0,3,0,37,0,37,40
554201,0,8,0,0,0,0,8
554203,0,5,0,0,0,0,5
554204,0,26,0,0,0,0,26
554301,0,0,0,0,0,0,0
554302,0,0,0,0,0,0,0
554403,0,22,0,0,0,0,22
554404,0,7,0,0,0,0,7
554405,0,0,0,0,0,0,0
554406,0,9,0,0,0,0,9
700600,0,3,0,0,0,0,3
700700,0,4,0,0,0,0,4
700801,0,3,0,0,0,0,3
700802,0,0,0,0,0,0,0
700901,0,5,0,0,0,0,5
700902,0,0,0,0,0,0,0
701000,0,1,0,0,0,0,1
203100,0,11,0,0,0,0,11
203200,0,0,0,0,0,0,0
203500,9,18,0,0,0,0,18
203600,0,3,0,25,0,25,28
203710,0,0,0,0,0,0,0
203720,0,0,0,0,0,0,0
203800,0,4,0,0,0,0,4
203900,0,3,0,0,0,0,3
204110,0,9,0,0,0,0,9
204120,0,3,0,0,0,0,3
204200,0,6,0,0,0,0,6
204300,0,0,0,0,0,0,0
204410,0,14,0,0,0,0,14
204420,0,15,115,0,0,115,130
204600,0,42,0,0,0,0,42
204700,0,23,0,0,0,0,23
204810,0,21,0,0,0,0,21
204820,0,15,0,0,0,0,15
204910,0,10,0,0,0,0,10
204920,0,27,0,0,0,0,27
205110,0,3,0,0,0,0,3
205120,0,77,23,0,0,23,100
206032,1,37,83,23,0,106,143
206050,0,144,0,0,0,0,144
430200,0,0,0,0,0,0,0
262301,0,2,0,0,0,0,2
262302,0,0,0,0,0,0,0
262303,0,0,0,0,0,0,0
262400,0,0,0,0,0,0,0
264000,0,0,0,0,0,0,0
264102,0,4,0,0,0,0,4
264103,0,5,0,0,0,0,5
264301,0,16,0,0,0,0,16
264302,0,17,0,0,0,0,17
265410,0,0,0,0,0,0,0
310100,0,0,0,0,0,0,0
310201,0,0,0,0,0,0,0
310202,0,0,0,0,0,0,0
310300,0,0,0,0,0,0,0
310400,0,4,0,0,0,0,4
310501,0,3,0,0,0,0,3
310601,0,0,0,47,0,47,47
310602,0,0,0,0,0,0,0
310701,0,5,0,0,0,0,5
310702,0,32,0,0,0,0,32
310703,0,9,0,0,0,0,9
310800,0,8,0,0,0,0,8
310900,0,16,0,0,0,0,16
311000,0,3,0,0,0,0,3
311100,0,4,0,0,0,0,4
311200,0,3,0,0,0,0,3
