CRIME CODE DESCRIPTION,LOCATION ,LATITUDE,LONGITUDE
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
ROBBERY,"(34.0417, -118.2443)",34.0417,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0437, -118.2455)",34.0437,-118.2455
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2469)",34.0421,-118.2469
INTIMATE PARTNER - SIMPLE ASSAULT,"(34.0428, -118.2461)",34.0428,-118.2461
THEFT PLAIN - PETTY ($950 & UNDER),"(34.0449, -118.2458)",34.0449,-118.2458
BATTERY - SIMPLE ASSAULT,"(34.0421, -118.2469)",34.0421,-118.2469
BATTERY - SIMPLE ASSAULT,"(34.0421, -118.2469)",34.0421,-118.2469
BATTERY - SIMPLE ASSAULT,"(34.0442, -118.2439)",34.0442,-118.2439
ATTEMPTED ROBBERY,"(34.0428, -118.2461)",34.0428,-118.2461
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0428, -118.2461)",34.0428,-118.2461
"RAPE, FORCIBLE","(34.0428, -118.2461)",34.0428,-118.2461
INTIMATE PARTNER - SIMPLE ASSAULT,"(34.0423, -118.2452)",34.0423,-118.2452
INTIMATE PARTNER - SIMPLE ASSAULT,"(34.0368, -118.2412)",34.0368,-118.2412
BATTERY - SIMPLE ASSAULT,"(34.0448, -118.2474)",34.0448,-118.2474
BATTERY - SIMPLE ASSAULT,"(34.0435, -118.2471)",34.0435,-118.2471
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
INTIMATE PARTNER - SIMPLE ASSAULT,"(34.043, -118.242)",34.043,-118.242
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2469)",34.0421,-118.2469
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","(34.0421, -118.2469)",34.0421,-118.2469
BATTERY - SIMPLE ASSAULT,"(34.0442, -118.2439)",34.0442,-118.2439
THEFT PLAIN - PETTY ($950 & UNDER),"(34.0423, -118.2452)",34.0423,-118.2452
KIDNAPPING,"(34.0416, -118.244)",34.0416,-118.244
ATTEMPTED ROBBERY,"(34.0417, -118.2443)",34.0417,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2469)",34.0421,-118.2469
THEFT PLAIN - PETTY ($950 & UNDER),"(34.0449, -118.2458)",34.0449,-118.2458
ROBBERY,"(34.0449, -118.2458)",34.0449,-118.2458
INTIMATE PARTNER - SIMPLE ASSAULT,"(34.0423, -118.2452)",34.0423,-118.2452
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.043, -118.242)",34.043,-118.242
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
BATTERY - SIMPLE ASSAULT,"(34.0437, -118.2455)",34.0437,-118.2455
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0408, -118.2428)",34.0408,-118.2428
CRIMINAL HOMICIDE,"(34.0442, -118.2439)",34.0442,-118.2439
THEFT PLAIN - PETTY ($950 & UNDER),"(34.0435, -118.2471)",34.0435,-118.2471
"RAPE, FORCIBLE","(34.0421, -118.2469)",34.0421,-118.2469
CRIMINAL THREATS - NO WEAPON DISPLAYED,"(34.0437, -118.2455)",34.0437,-118.2455
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0403, -118.2421)",34.0403,-118.2421
BATTERY - SIMPLE ASSAULT,"(34.0394, -118.2405)",34.0394,-118.2405
THEFT PLAIN - PETTY ($950 & UNDER),"(34.0442, -118.2439)",34.0442,-118.2439
INTIMATE PARTNER - SIMPLE ASSAULT,"(34.0428, -118.2461)",34.0428,-118.2461
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0437, -118.2455)",34.0437,-118.2455
ROBBERY,"(34.0423, -118.2452)",34.0423,-118.2452
BATTERY - SIMPLE ASSAULT,"(34.0439, -118.2479)",34.0439,-118.2479
BATTERY - SIMPLE ASSAULT,"(34.0423, -118.2452)",34.0423,-118.2452
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0396, -118.2451)",34.0396,-118.2451
"THEFT, PERSON","(34.0449, -118.2458)",34.0449,-118.2458
VANDALISM - MISDEAMEANOR ($399 OR UNDER),"(34.0437, -118.2455)",34.0437,-118.2455
ROBBERY,"(34.0449, -118.2458)",34.0449,-118.2458
BATTERY - SIMPLE ASSAULT,"(34.0421, -118.2469)",34.0421,-118.2469
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0433, -118.2488)",34.0433,-118.2488
BATTERY - SIMPLE ASSAULT,"(34.0417, -118.2443)",34.0417,-118.2443
"RAPE, FORCIBLE","(34.0417, -118.2443)",34.0417,-118.2443
BATTERY - SIMPLE ASSAULT,"(34.0421, -118.2469)",34.0421,-118.2469
INTIMATE PARTNER - SIMPLE ASSAULT,"(34.0428, -118.2461)",34.0428,-118.2461
BIKE - STOLEN,"(34.0439, -118.2479)",34.0439,-118.2479
THEFT PLAIN - PETTY ($950 & UNDER),"(34.0435, -118.2471)",34.0435,-118.2471
ARSON,"(34.0417, -118.2443)",34.0417,-118.2443
