CRIME CODE DESCRIPTION,LOCATION ,LATITUDE,LONGITUDE
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
ROBBERY,"(34.0417, -118.2443)",34.0417,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0437, -118.2455)",34.0437,-118.2455
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2469)",34.0421,-118.2469
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0428, -118.2461)",34.0428,-118.2461
"RAPE, FORCIBLE","(34.0428, -118.2461)",34.0428,-118.2461
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2469)",34.0421,-118.2469
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2469)",34.0421,-118.2469
ROBBERY,"(34.0449, -118.2458)",34.0449,-118.2458
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.043, -118.242)",34.043,-118.242
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0408, -118.2428)",34.0408,-118.2428
CRIMINAL HOMICIDE,"(34.0442, -118.2439)",34.0442,-118.2439
"RAPE, FORCIBLE","(34.0421, -118.2469)",34.0421,-118.2469
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0403, -118.2421)",34.0403,-118.2421
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0437, -118.2455)",34.0437,-118.2455
ROBBERY,"(34.0423, -118.2452)",34.0423,-118.2452
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0396, -118.2451)",34.0396,-118.2451
ROBBERY,"(34.0449, -118.2458)",34.0449,-118.2458
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0433, -118.2488)",34.0433,-118.2488
"RAPE, FORCIBLE","(34.0417, -118.2443)",34.0417,-118.2443
ARSON,"(34.0417, -118.2443)",34.0417,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0439, -118.2479)",34.0439,-118.2479
ROBBERY,"(34.0428, -118.2461)",34.0428,-118.2461
ROBBERY,"(34.0403, -118.2421)",34.0403,-118.2421
"RAPE, FORCIBLE","(34.0423, -118.2452)",34.0423,-118.2452
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0428, -118.2461)",34.0428,-118.2461
ROBBERY,"(34.0423, -118.2452)",34.0423,-118.2452
ROBBERY,"(34.0449, -118.2458)",34.0449,-118.2458
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0437, -118.2455)",34.0437,-118.2455
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2469)",34.0421,-118.2469
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0435, -118.2471)",34.0435,-118.2471
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0421, -118.2405)",34.0421,-118.2405
"RAPE, FORCIBLE","(34.0442, -118.2439)",34.0442,-118.2439
ROBBERY,"(34.043, -118.242)",34.043,-118.242
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0449, -118.2458)",34.0449,-118.2458
ROBBERY,"(34.0448, -118.2474)",34.0448,-118.2474
ROBBERY,"(34.0448, -118.2474)",34.0448,-118.2474
ROBBERY,"(34.0442, -118.2439)",34.0442,-118.2439
ROBBERY,"(34.043, -118.242)",34.043,-118.242
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0428, -118.2461)",34.0428,-118.2461
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0428, -118.2461)",34.0428,-118.2461
ROBBERY,"(34.0454, -118.2466)",34.0454,-118.2466
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0394, -118.2405)",34.0394,-118.2405
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0423, -118.2452)",34.0423,-118.2452
ROBBERY,"(34.0395, -118.2405)",34.0395,-118.2405
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
ROBBERY,"(34.0435, -118.2471)",34.0435,-118.2471
"RAPE, FORCIBLE","(34.0421, -118.2469)",34.0421,-118.2469
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0437, -118.2455)",34.0437,-118.2455
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0417, -118.2443)",34.0417,-118.2443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0454, -118.2466)",34.0454,-118.2466
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0442, -118.2439)",34.0442,-118.2439
