tract,ZIPCODE
20100,36067
20200,36008
20200,36067
20200,36068
20300,36067
20400,36067
20400,36066
20500,36067
20500,36066
20600,36067
20700,36067
20801,36067
20802,36067
20802,36066
20802,36022
20900,36066
20900,36051
20900,36091
20900,36022
20900,36067
21000,36067
21000,36758
21000,36749
21000,36091
21000,36006
21100,36703
21100,36003
21100,36006
21100,36749
21100,36067
10100,36502
10100,36562
10100,36579
10100,36550
10100,36480
10100,36507
10200,36562
10200,36507
10300,36527
10300,36507
10300,36578
10400,36551
10400,36567
10400,36578
10400,36507
10500,36507
10600,36507
10701,36527
10701,36526
10703,36526
10703,36507
10703,36551
10703,36527
10703,36578
10703,36532
10704,36526
10705,36527
10705,36526
10800,36577
10800,36532
10800,36559
10800,36526
10903,36551
10904,36551
10904,36574
10904,36567
10905,36551
10905,36567
10905,36576
10906,36551
10906,36567
11000,36580
11000,36535
11000,36567
11000,36530
11000,36576
11101,36532
11102,36532
11201,36532
11201,36533
11201,36564
11202,36532
11300,36532
11401,36555
11401,36511
11401,36535
11401,36580
11403,36535
11403,36561
11403,36542
11405,36561
11406,36542
11406,36561
11407,36547
11407,36542
11408,36542
11501,36535
11501,36536
11501,36580
11502,36535
11502,36530
11601,36530
11601,36580
11601,36535
11601,36549
11602,36549
11602,36530
11602,36574
950100,36053
950100,36027
950100,36072
950200,36016
950200,36053
950300,36016
950300,36048
950300,36017
950400,36016
950400,36311
950400,36317
950400,36048
950400,36017
950400,36374
950500,36027
950500,36317
950500,36016
950600,36016
950600,36027
950700,36016
950700,36053
950700,36027
950800,36027
950800,36053
950900,36027
10001,35188
10001,35184
10002,35184
10002,35188
10002,35111
10003,36750
10003,36793
10003,35115
10003,35035
10003,36792
10003,35042
10004,35184
10004,35456
10004,35034
10004,35042
50101,35146
50101,35121
50101,35013
50101,35133
50102,35952
50102,35121
50102,35049
50200,35121
50200,35031
50200,35049
50300,35980
50300,35031
50300,35121
50300,35952
50300,35957
50400,35980
50400,35016
50400,35976
50400,35031
50500,35031
50500,35049
50500,35079
50601,35063
50601,35079
50601,35180
50602,35079
50602,35180
50700,35126
50700,35097
50700,35133
50700,35172
50700,35049
952100,36860
952100,36089
952100,36053
952200,36031
952200,36053
952200,36089
952500,36029
952500,36052
952500,36089
952500,36081
952500,36005
952700,36037
952700,36032
952800,36037
952900,36037
953000,36037
953000,36033
953000,36030
953100,36037
953200,36042
953200,36071
953200,36033
953200,36032
953200,36037
953300,36037
953300,36015
953300,36033
953400,36033
953400,36456
953500,36456
953500,36033
953500,36474
953500,36037
200,36207
200,36201
200,36206
200,36257
200,36204
200,36202
300,36201
400,36201
500,36201
600,36201
700,36205
700,36201
700,36206
700,36277
800,36207
800,36203
800,36201
900,36207
1000,36203
1000,36201
1000,36207
1100,36207
1100,36203
1201,36201
1201,36203
1202,36203
1202,36201
1300,36201
1400,36201
1500,36201
1500,35096
1500,36260
1500,36203
1500,36253
1600,36206
1600,36201
1700,36206
1700,36277
1700,36250
1800,36265
1800,36206
1800,36250
1800,36277
2000,36265
2000,36254
2000,36272
2000,36207
2101,36265
2102,36265
2103,36265
2200,36272
2200,36265
2300,36265
2300,36272
2400,36272
2400,36265
2501,36265
2501,36250
2501,36279
2501,36271
2502,36279
2502,36271
2502,36265
2502,35905
2600,35096
2600,36271
2600,35905
981901,36201
981901,36260
981902,36201
981903,36206
953800,36863
953800,36274
953800,36855
953800,36862
953800,36276
953900,36863
953900,36862
954000,36863
954000,36879
954000,36801
954000,36862
954000,36852
954000,36850
954200,36863
954300,36854
954300,36852
954300,36862
954300,36801
954300,36863
954400,36863
954500,36863
954600,36854
954700,36854
955701,35973
955701,35959
955702,35959
955702,35984
955702,35973
955800,35961
955800,35959
955800,35901
955800,35967
955800,35983
955900,35983
955900,36272
955900,35960
955900,36275
955900,35903
956000,35960
956100,35960
956100,36272
60101,35046
60101,35045
60102,35045
60102,35171
60200,35045
60200,35046
60300,35085
60300,35046
60401,35085
60401,35045
60401,35171
60402,35085
60402,35115
60402,36792
60402,35040
60402,36750
60500,35171
60500,36758
60500,35085
60500,36790
60500,36006
60500,36793
60500,36750
60600,36750
60600,35171
60600,36006
60600,35045
60700,36006
60700,36051
60700,36091
60700,35046
60700,35045
956700,36910
956700,36916
956700,36904
956700,36922
956700,36912
956800,36921
956800,36908
956800,36912
956800,36904
956900,36921
956900,36919
956900,36908
956900,36915
956900,36904
956900,36913
957000,36908
957000,36558
957000,36919
957500,36751
957500,36436
957500,36446
957500,36784
957500,36451
957601,36727
957601,36524
957601,36784
957601,36451
957601,36782
957602,36784
957700,36727
957700,36784
957700,36524
957800,36436
957800,36751
957800,36540
957800,36545
957800,36451
957800,36482
957901,36545
957901,36451
957902,36545
958001,36451
958001,36545
958002,36545
958002,36540
958900,36258
958900,36255
958900,35160
958900,36251
958900,36266
958900,36268
959000,36266
959000,36251
959000,35160
959100,36266
959100,36255
959100,36256
959100,36276
959100,36251
959200,35160
959200,36251
959200,36267
959200,35072
959200,35082
959500,36262
959500,36264
959500,36272
959500,36269
959600,36207
959600,36264
959600,36261
959600,36262
959700,36268
959700,36264
959700,36258
959800,36269
959800,36264
959800,36273
10100,36079
10100,36034
10100,36323
10100,36346
10200,36010
10200,36346
10200,36351
10200,36323
10300,36360
10300,36351
10300,36311
10300,36330
10300,36323
10400,36346
10400,36323
10400,36351
10500,36323
10500,36009
10500,36467
10600,36467
10600,36323
10600,36453
10700,36323
10700,36330
10700,36318
10700,36453
10700,36477
10700,36351
10800,36322
10800,36318
10800,36330
10800,36316
10900,36330
11000,36330
11100,36330
11201,36330
11202,36330
11300,36330
20100,35660
20100,35661
20200,35660
20300,35660
20300,35661
20300,35674
20400,35660
20400,35674
20500,35674
20500,35660
20600,35674
20600,35661
20701,35674
20701,35661
20701,35660
20701,35646
20703,35661
20704,35660
20704,35661
20801,35661
20801,35672
20801,35646
20802,35654
20802,35674
20802,35672
20802,35646
20901,35654
20901,35653
20901,35674
20902,35653
20902,35674
20902,35616
21000,35582
21000,35653
21000,35616
21000,35674
960200,36401
960200,36456
960200,36471
960200,36033
960200,36475
960300,36426
960300,36475
960300,36502
960300,36460
960300,36454
960300,36473
960400,36475
960400,36432
960400,36426
960400,36401
960500,36429
960500,36401
960600,36474
960600,36401
960600,36432
960600,36456
960600,36421
961000,35072
961000,35010
961000,35089
961100,35151
961100,35072
961100,35183
961100,35150
961100,35046
961200,36026
961200,35010
961200,35136
961200,35089
961200,36080
961600,36038
961600,36421
961600,36474
961600,36467
961600,36028
961700,36421
961700,36456
961700,36474
961700,36420
961800,36420
961800,36421
961900,36421
961900,36420
962000,36420
962000,36421
962000,36476
962100,36420
962100,36421
962300,36442
962300,36467
962300,36421
962300,36420
962400,36467
962400,36453
962500,36467
962600,36467
962700,36467
962800,36467
962800,36442
962800,36453
962900,36483
962900,36442
962900,36420
963000,36455
963000,36477
963000,36442
963400,36036
963400,36046
963400,36049
963400,36041
963500,36046
963500,36042
963500,36049
963500,36041
963600,36049
963600,36042
963600,36037
963600,36071
963600,36041
963600,36009
963700,36049
963700,36034
963700,36035
963700,36009
963800,36009
963800,36049
963800,36037
963800,36028
963900,36323
963900,36028
963900,36009
963900,36034
963900,36467
964100,35058
964100,35083
964100,35016
964100,35976
964100,35019
964100,35087
964200,35179
964200,35019
964200,35621
964200,35055
964200,35058
964300,35622
964300,35058
964300,35179
964400,35057
964400,35622
964400,35179
964500,35179
964500,35541
964500,35053
964500,35540
964500,35098
964500,35619
964500,35057
964600,35055
964600,35098
964600,35053
964600,35179
964600,35057
964700,35055
964700,35179
964700,35077
964700,35057
964800,35058
964800,35055
964900,35056
964900,35058
964900,35179
964900,35055
965000,35077
965000,35055
965100,35077
965100,35055
965200,35055
965200,35077
965300,35055
965300,35077
965300,35083
965300,35058
965401,35077
965402,35070
965402,35077
965500,35057
965500,35077
965500,35033
965600,35053
965600,35057
965600,35098
965700,35033
965700,35057
965700,35053
965700,35077
20000,36362
20000,36360
20000,36322
20100,36360
20100,36374
20100,36311
20200,36360
20200,36353
20200,36317
20200,36350
